srch_id,rows,visitor_location_country_id,visitor_hist_starrating,visitor_hist_adr_usd,prop_country_id,prop_id,prop_starrating,prop_brand_bool,prop_location_score1,prop_location_score2,prop_review_score,booked,prop_starrating_avg,prop_location_score1_avg,prop_location_score2_avg,prop_review_score_avg
26027,1,219,,,99,111455,2,0,5.09,0.157805263,3.5,0,2,5.09,0.157805263,3.5
27333,1,219,,,219,68914,2,1,2.2,0.0005,3,0,2,2.2,0.0005,3
27439,1,229,,,215,107111,4,0,5.84,0.267015385,4.5,0,4,5.84,0.267015385,4.5
27501,1,100,,,35,105109,4,0,1.39,0.0023,5,0,4,1.39,0.0023,5
27528,1,129,,,99,30990,4,0,6.12,0.262,4.5,0,4,6.12,0.262,4.5
27582,1,55,3.92,137.68,93,3408,2,0,4.19,0.1548,4,0,2,4.19,0.1548,4
28134,1,55,,,99,114556,2,1,2.4,0.0231,4,0,2,2.4,0.0231,4
28583,1,219,,,219,42087,3,1,2.3,0.0041,3.5,0,3,2.3,0.0041,3.5
28990,1,100,,,219,109147,3,1,1.1,0.0315,4,0,3,1.1,0.0315,4
29049,1,55,,,99,37875,4,1,6.27,0.0361,3.5,0,4,6.27,0.0361,3.5
30121,1,219,,,100,82394,3,1,4.13,0.12448871,4,0,3,4.13,0.12448871,4
30350,1,181,,,215,135221,3,0,6.25,0.4837,4,0,3,6.25,0.4837,4
30619,1,55,,,31,127555,4,0,4.75,0.18088,4,0,4,4.75,0.18088,4
30887,1,219,,,219,23376,3,1,2.94,0.125509244,,0,3,2.94,0.125509244,
31465,1,219,,,219,54139,2,1,1.1,0.125509244,2.5,0,2,1.1,0.125509244,2.5
31767,1,219,,,219,92611,4,1,3.78,0.5521,4.5,0,4,3.78,0.5521,4.5
32064,1,219,,,219,32073,4,1,3.18,0.0318,5,0,4,3.18,0.0318,5
32205,1,59,,,59,69256,4,1,1.79,0.0126,4.5,0,4,1.79,0.0126,4.5
32760,1,220,,,220,124014,5,0,0,0.210763158,5,0,5,0,0.210763158,5
33249,1,103,,,31,20928,3,0,6.36,0.6868,4,0,3,6.36,0.6868,4
33331,1,219,,,219,69531,2,1,0.69,0.0086,3,0,2,0.69,0.0086,3
33739,1,219,,,219,20889,2,0,0,0.2287,4.5,0,2,0,0.2287,4.5
33814,1,219,,,219,43028,3,1,4.17,0.0324,4,0,3,4.17,0.0324,4
34106,1,219,,,219,135726,4,1,1.61,0.125509244,5,0,4,1.61,0.125509244,5
34818,1,219,,,109,79107,3,0,5.36,0.1231,5,0,3,5.36,0.1231,5
35865,1,219,,,219,52693,3,1,0.69,0.125509244,5,0,3,0.69,0.125509244,5
36267,1,22,3,74.66,219,105958,3,1,0.69,0.0017,4.5,0,3,0.69,0.0017,4.5
36519,1,219,,,219,38733,3,1,2.83,0.0221,4,0,3,2.83,0.0221,4
36569,1,219,,,219,104276,2,0,2.94,0.1006,4,0,2,2.94,0.1006,4
37063,1,219,,,219,41764,4,1,0,0.0516,4,0,4,0,0.0516,4
37286,1,219,,,55,65991,4,1,5.14,0.1037,4,0,4,5.14,0.1037,4
37707,1,219,,,219,113327,2,1,1.1,0.5579,3.5,0,2,1.1,0.5579,3.5
37764,1,215,,,219,98736,4,1,5.63,0.1177,4.5,0,4,5.63,0.1177,4.5
37813,1,219,,,219,17633,4,1,5.86,0.1356,4,0,4,5.86,0.1356,4
38053,1,219,,,219,30487,2,1,2.89,0.1782,2.5,0,2,2.89,0.1782,2.5
38326,1,219,,,219,15994,4,0,5.68,0.1584,3.5,0,4,5.68,0.1584,3.5
38582,1,219,,,219,31169,5,1,5.73,0.1377,4.5,0,5,5.73,0.1377,4.5
38943,1,219,,,219,126904,3,1,3.26,0.0086,4,0,3,3.26,0.0086,4
39335,1,100,,,219,36650,3,1,4.25,0.125509244,4.5,0,3,4.25,0.125509244,4.5
39704,1,13,,,219,85514,3,0,3.26,0.0693,3.5,0,3,3.26,0.0693,3.5
40146,1,219,,,219,29163,3,1,2.3,0.0964,4,0,3,2.3,0.0964,4
40385,1,216,,,93,41638,3,0,4.13,0.1204,4,0,3,4.13,0.1204,4
40566,1,219,3.76,265.88,219,41677,3,1,2.64,0.1555,4.5,0,3,2.64,0.1555,4.5
40808,1,219,,,219,133085,4,1,1.39,0.0493,4.5,0,4,1.39,0.0493,4.5
41092,1,219,,,219,126997,2,1,1.1,0.0136,3.5,0,2,1.1,0.0136,3.5
41382,1,219,,,219,2125,3,1,2.77,0.125509244,4.5,0,3,2.77,0.125509244,4.5
41751,1,99,,,219,120172,,0,0,0.125509244,4,0,,0,0.125509244,4
41884,1,219,,,219,68176,4,1,1.61,0.0536,3.5,0,4,1.61,0.0536,3.5
42137,1,100,,,55,96490,5,0,5.39,0.016,4,0,5,5.39,0.016,4
42218,1,100,,,100,115562,4,1,4.74,0.0691,4,0,4,4.74,0.0691,4
42338,1,35,,,35,131811,3,0,3.4,0.1788,4,2,3,3.4,0.1788,4
42895,1,219,4.11,420.07,219,123377,3,1,3.58,0.0233,4.5,0,3,3.58,0.0233,4.5
44128,1,219,,,219,121990,2,0,1.39,0.125509244,3,0,2,1.39,0.125509244,3
44270,1,55,,,216,83767,4,0,3.5,0.0089,4.5,0,4,3.5,0.0089,4.5
44332,1,220,3.67,215.04,92,99043,3,0,1.39,0.02925,,0,3,1.39,0.02925,
44568,1,216,,,215,32750,3,1,4.78,0.0159,4,0,3,4.78,0.0159,4
45823,1,219,,,70,95940,2,0,3.81,0.0155,3.5,0,2,3.81,0.0155,3.5
46102,1,219,,,53,32091,5,1,2.3,0.0494,5,0,5,2.3,0.0494,5
46141,1,219,,,219,59263,3,1,1.39,0.125509244,4,0,3,1.39,0.125509244,4
46456,1,219,,,219,89820,2,0,0.69,0.0328,3.5,0,2,0.69,0.0328,3.5
47548,1,219,,,219,131110,4,1,3.37,0.0299,4.5,0,4,3.37,0.0299,4.5
48009,1,219,,,219,11394,2,1,1.79,0.0509,3.5,0,2,1.79,0.0509,3.5
48108,1,219,,,219,121104,3,1,1.95,0.79,4,0,3,1.95,0.79,4
48146,1,212,,,219,99130,5,0,,,,1,5,4.73,0.2254,3.5
48247,1,219,,,100,42207,3,1,4.33,0.2431,4.5,0,3,4.33,0.2431,4.5
48507,1,219,,,31,32377,2,0,6.36,0.1937,3.5,0,2,6.36,0.1937,3.5
49036,1,219,,,219,18232,3,1,2.89,0.3364,3.5,0,3,2.89,0.3364,3.5
49189,1,219,,,219,44197,4,1,4.81,0.125509244,4,0,4,4.81,0.125509244,4
49566,1,219,,,26,73444,3,0,3.58,0.1351,2.5,0,3,3.58,0.1351,2.5
49578,1,219,,,219,118033,2,1,2.83,0.0257,4,0,2,2.83,0.0257,4
49863,1,219,,,219,120274,3,0,2.4,0.0092,4.5,0,3,2.4,0.0092,4.5
50590,1,219,,,219,46655,2,1,1.79,0.0175,3.5,0,2,1.79,0.0175,3.5
50596,1,229,3.41,107.38,229,83358,3,0,3.26,0.3809,4,0,3,3.26,0.3809,4
50749,1,219,,,219,95122,3,1,3,0.0035,4,0,3,3,0.0035,4
50767,1,129,,,23,61905,3,0,1.95,0.0332,3,0,3,1.95,0.0332,3
50771,1,129,,,56,71024,4,0,5.23,0.1125,4,0,4,5.23,0.1125,4
50981,1,32,,,129,18338,4,1,2.2,0.0232,4,0,4,2.2,0.0232,4
51019,1,219,,,219,115431,2,1,1.79,0.1284,3,0,2,1.79,0.1284,3
52859,1,219,,,219,67800,3,1,1.1,0.0234,4.5,0,3,1.1,0.0234,4.5
53509,1,219,,,219,70302,2,0,4.01,0.0531,3.5,0,2,4.01,0.0531,3.5
53592,1,219,3.5,276.64,219,55672,2,1,0,0.0554,3.5,0,2,0,0.0554,3.5
53785,1,219,,,219,15609,4,1,4.17,0.4028,4,0,4,4.17,0.4028,4
54309,1,219,,,219,12439,2,1,1.1,0.125509244,4,0,2,1.1,0.125509244,4
54410,1,100,,,100,27885,2,1,3.53,0.1264,4,0,2,3.53,0.1264,4
54710,1,219,,,129,44411,4,0,1.1,0,4,0,4,1.1,0,4
54861,1,31,,,31,114078,4,0,3.69,0.0197,3.5,0,4,3.69,0.0197,3.5
55124,1,100,,,215,41346,3,0,6.15,0.6512,3.5,0,3,6.15,0.6512,3.5
55303,1,219,,,219,34151,4,1,5.15,0.283,4.5,0,4,5.15,0.283,4.5
55529,1,100,,,55,76209,3,0,1.39,0.0122,3.5,0,3,1.39,0.0122,3.5
56423,1,100,,,100,20303,2,1,1.79,0.1004,4,0,2,1.79,0.1004,4
56690,1,219,,,219,124733,4,0,2.77,0.2784,4.5,0,4,2.77,0.2784,4.5
56714,1,219,,,219,5282,4,1,2.3,0.125509244,3,0,4,2.3,0.125509244,3
57286,1,219,,,219,76426,3,0,2.48,0.018,5,0,3,2.48,0.018,5
57576,1,219,,,219,46478,,1,3.66,0.3744,2.5,0,,3.66,0.3744,2.5
57897,1,219,,,219,42609,4,1,4.42,0.7264,4,0,4,4.42,0.7264,4
58037,1,56,,,31,22920,3,0,3.56,0.18088,4,0,3,3.56,0.18088,4
58254,1,55,3.26,128.42,31,20366,4,0,2.64,0.0052,4,0,4,2.64,0.0052,4
58288,1,2,,,219,53341,4,1,2.56,0.1238,4,0,4,2.56,0.1238,4
58372,1,219,,,219,60808,,1,2.4,0.0925,5,0,,2.4,0.0925,5
58539,1,216,,,117,75847,4,1,4.11,0.0479,4,0,4,4.11,0.0479,4
58662,1,220,,,99,82144,4,1,1.61,0.157805263,4,0,4,1.61,0.157805263,4
59198,1,219,,,219,26387,3,1,1.79,0.125509244,2.5,0,3,1.79,0.125509244,2.5
59345,1,219,,,219,83616,3,1,2.83,0.006,5,0,3,2.83,0.006,5
60265,1,219,,,219,118494,2,1,1.1,0.0209,4.5,0,2,1.1,0.0209,4.5
60533,1,219,,,219,135446,3,1,2.83,0.4425,4.5,0,3,2.83,0.4425,4.5
60616,1,219,,,219,48492,3,1,2.4,0.0279,4.5,0,3,2.4,0.0279,4.5
60733,1,129,2.6,88.99,73,47876,3,0,2.94,0.1448,3.5,0,3,2.94,0.1448,3.5
60793,1,216,,,219,139845,3,1,2.4,0.125509244,4.5,0,3,2.4,0.125509244,4.5
62409,1,59,,,216,40713,3,0,3.97,0.0228,4,0,3,3.97,0.0228,4
62678,1,55,,,132,96480,5,1,5.89,0.1596,4.5,0,5,5.89,0.1596,4.5
63191,1,100,,,31,43610,5,1,6.82,0.0971,4.5,0,5,6.82,0.0971,4.5
63325,1,219,,,219,115547,3,1,2.77,0.2885,4.5,0,3,2.77,0.2885,4.5
63444,1,219,,,32,84614,3,0,3.89,0.2419,3.5,0,3,3.89,0.2419,3.5
63998,1,100,,,100,59253,3,1,2.4,0.2176,3.5,0,3,2.4,0.2176,3.5
64090,1,33,,,15,66153,4,0,2.94,0.0441,4.5,0,4,2.94,0.0441,4.5
64718,1,219,,,219,5366,3,1,2.4,0.0376,2.5,0,3,2.4,0.0376,2.5
65110,1,219,,,31,113627,,0,6.75,0.5569,4.5,0,,6.75,0.5569,4.5
65192,1,219,,,219,56050,3,1,2.77,0.121,4,0,3,2.77,0.121,4
65289,1,219,,,219,137042,4,1,,,,1,4,4.77,0.2322,4.5
65436,1,55,,,99,43209,4,1,2.77,0.0008,4,0,4,2.77,0.0008,4
66249,1,31,,,31,51732,5,0,4.14,0.2554,4.5,0,5,4.14,0.2554,4.5
66307,1,219,,,219,82079,2,1,1.1,0.0327,4,0,2,1.1,0.0327,4
67741,1,216,,,215,94063,4,1,6.16,0.5555,4,0,4,6.16,0.5555,4
68064,1,99,,,129,107783,4,0,0,0.0086,4.5,2,4,0,0.0086,4.5
68348,1,100,3.63,243.61,219,78200,3,1,0,0.0039,3.5,0,3,0,0.0039,3.5
68555,1,5,,,18,94640,5,0,0.69,0.0001,4.5,0,5,0.69,0.0001,4.5
69159,1,55,,,154,124732,3,0,4.32,0.0962,3.5,0,3,4.32,0.0962,3.5
69965,1,219,,,88,63910,3,1,0.69,0.0046,4.5,0,3,0.69,0.0046,4.5
70504,1,219,,,219,135695,3,1,3.09,0.0503,4,0,3,3.09,0.0503,4
70520,1,219,,,219,74630,3,1,2.48,0.0177,3.5,0,3,2.48,0.0177,3.5
70546,1,206,,,219,32887,4,0,5.08,0.0306,4,0,4,5.08,0.0306,4
71080,1,4,,,219,58141,3,1,1.39,0.125509244,3.5,0,3,1.39,0.125509244,3.5
71819,1,99,,,99,117586,4,0,2.08,0.157805263,4.5,0,4,2.08,0.157805263,4.5
72009,1,92,,,220,23328,5,1,5.02,0.5064,4,0,5,5.02,0.5064,4
72192,1,219,,,219,62945,2,1,1.95,0.0059,4,0,2,1.95,0.0059,4
72206,1,219,,,219,139366,4,0,5.8,0.6034,4.5,0,4,5.8,0.6034,4.5
72441,1,219,,,219,47162,3,1,2.89,0.1814,4.5,2,3,2.89,0.1814,4.5
72916,1,100,3.72,305.84,99,90299,4,1,6.08,0.2918,4.5,0,4,6.08,0.2918,4.5
73030,1,219,,,219,120379,2,1,1.79,0.0932,4.5,0,2,1.79,0.0932,4.5
73761,1,33,2.75,108.88,33,9407,4,1,3.74,0.3847,3,0,4,3.74,0.3847,3
74373,1,100,,,100,88177,3,0,2.3,0.12448871,4.5,0,3,2.3,0.12448871,4.5
74393,1,103,,,39,61111,4,1,2.64,0.0043,4,0,4,2.64,0.0043,4
74491,1,219,,,31,7190,4,1,1.95,0.0254,4.5,0,4,1.95,0.0254,4.5
75140,1,219,,,219,102885,3,1,2.56,0.0532,4.5,0,3,2.56,0.0532,4.5
76122,1,219,,,219,71097,3,1,0,0.0018,4.5,0,3,0,0.0018,4.5
76372,1,219,,,219,73032,2,1,0.69,0.0092,3.5,0,2,0.69,0.0092,3.5
77328,1,219,,,219,48764,2,1,2.48,0.1656,3.5,0,2,2.48,0.1656,3.5
77373,1,50,,,44,37085,4,0,2.64,0.2625,4.5,0,4,2.64,0.2625,4.5
78221,1,219,,,219,85908,4,1,2.08,0.0143,4.5,0,4,2.08,0.0143,4.5
78396,1,214,,,129,63961,3,0,4.98,0.2712,4,0,3,4.98,0.2712,4
78784,1,219,,,219,112871,2,0,4.28,0.0393,4.5,0,2,4.28,0.0393,4.5
78993,1,219,,,219,73319,3,1,0.69,0.0112,3.5,0,3,0.69,0.0112,3.5
79201,1,16,,,91,17541,4,0,3.91,0.1376,4,0,4,3.91,0.1376,4
79721,1,100,,,100,11284,5,0,4.51,0.431,5,0,5,4.51,0.431,5
80442,1,219,,,219,41488,3,1,2.89,0.0589,4,0,3,2.89,0.0589,4
80873,1,55,,,220,104355,4,0,3.33,0.210763158,5,0,4,3.33,0.210763158,5
80902,1,216,,,215,23735,5,1,6.06,0.1614,4.5,0,5,6.06,0.1614,4.5
81041,1,219,,,219,40279,5,1,4.29,0.2385,4.5,0,5,4.29,0.2385,4.5
81296,1,219,,,219,61529,4,1,5.7,0.5823,4.5,0,4,5.7,0.5823,4.5
81738,1,219,,,219,134875,2,1,2.56,0.0535,3.5,0,2,2.56,0.0535,3.5
81990,1,219,,,219,50879,2,1,3.14,0.0022,3.5,0,2,3.14,0.0022,3.5
82044,1,219,,,219,98457,4,0,4.79,0.3832,4.5,0,4,4.79,0.3832,4.5
83092,1,219,,,219,54834,2,1,2.48,0.0304,2,0,2,2.48,0.0304,2
83323,1,100,,,100,35308,4,1,3.74,0.3393,4.5,0,4,3.74,0.3393,4.5
83363,1,219,,,219,55047,2,1,2.08,0.1036,4,0,2,2.08,0.1036,4
83420,1,100,,,219,36651,3,1,2.08,0.002,3,0,3,2.08,0.002,3
83544,1,219,,,219,82860,3,1,1.61,0.0962,4,0,3,1.61,0.0962,4
84230,1,219,,,219,135591,3,0,1.39,0.0297,3.5,0,3,1.39,0.0297,3.5
84245,1,216,,,73,79896,4,1,3.99,0.0487,3.5,0,4,3.99,0.0487,3.5
84271,1,219,,,219,89431,,1,1.61,0.125509244,3.5,0,,1.61,0.125509244,3.5
84581,1,219,,,80,127959,3,0,3.04,0.0618,3.5,0,3,3.04,0.0618,3.5
84983,1,55,,,55,2563,4,0,5.5,0.1704,3.5,0,4,5.5,0.1704,3.5
86059,1,99,,,18,71335,4,0,2.56,0.0581,3.5,0,4,2.56,0.0581,3.5
86269,1,220,,,220,62199,5,0,3,0.0963,4.5,0,5,3,0.0963,4.5
86433,1,100,,,100,51178,3,1,4.32,0.0551,4,0,3,4.32,0.0551,4
87838,1,55,,,221,95061,4,0,0.69,0.0045,5,0,4,0.69,0.0045,5
88265,1,219,,,219,132918,2,0,1.1,0.0105,3,0,2,1.1,0.0105,3
89340,1,100,,,100,132244,,1,1.79,0.12448871,4,0,,1.79,0.12448871,4
89342,1,205,4.91,620.34,205,115234,5,1,3.89,0.0245,4.5,0,5,3.89,0.0245,4.5
89661,1,216,,,55,77568,3,0,0.69,0.065954167,3,0,3,0.69,0.065954167,3
89758,1,219,,,219,3084,4,1,5.72,0.0781,4,0,4,5.72,0.0781,4
89839,1,100,,,100,55712,,0,1.95,0.0509,4,0,,1.95,0.0509,4
89894,1,129,,,219,25662,3,0,0,0.0336,4.5,0,3,0,0.0336,4.5
90181,1,100,,,219,3855,2,0,1.39,0.0447,3.5,0,2,1.39,0.0447,3.5
90402,1,219,,,100,18566,3,0,3.83,0.1167,4.5,0,3,3.83,0.1167,4.5
90520,1,219,,,219,97113,,1,1.61,0.0266,4,0,,1.61,0.0266,4
90624,1,4,,,4,70441,4,0,3.87,0.289,5,2,4,3.87,0.289,5
90934,1,181,,,215,110290,2,0,6.27,0.2114,1,0,2,6.27,0.2114,1
91050,1,100,,,219,124519,3,0,1.1,0.125509244,4,0,3,1.1,0.125509244,4
91637,1,219,,,219,19785,4,1,2.64,0.125509244,4.5,0,4,2.64,0.125509244,4.5
91727,1,216,2.8,32.98,98,25579,3,0,3,0.3602,4,0,3,3,0.3602,4
91879,1,219,,,219,100190,3,1,1.61,0.125509244,4.5,0,3,1.61,0.125509244,4.5
92008,1,219,,,219,133151,2,0,2.3,0.0163,3.5,0,2,2.3,0.0163,3.5
92201,1,100,4,1091.34,219,52921,3,1,2.89,0.0355,4,2,3,2.89,0.0355,4
92470,1,219,,,219,130173,3,1,1.1,0.0004,4,0,3,1.1,0.0004,4
93203,1,219,,,219,39760,3,0,1.1,0.0123,4,0,3,1.1,0.0123,4
93491,1,219,,,219,135372,2,1,1.61,0.0849,4,0,2,1.61,0.0849,4
93838,1,100,,,100,92440,4,0,2.89,0.12448871,3.5,0,4,2.89,0.12448871,3.5
94314,1,219,,,219,87140,4,1,0.69,0.002,5,0,4,0.69,0.002,5
94567,1,219,,,219,43823,2,1,2.48,0.0989,3,0,2,2.48,0.0989,3
95144,1,219,,,219,113133,2,1,1.61,0.125509244,4.5,0,2,1.61,0.125509244,4.5
95352,1,117,,,202,95038,4,0,1.79,0.0175,4,0,4,1.79,0.0175,4
95417,1,219,,,219,59618,4,0,4.99,0.4468,3.5,0,4,4.99,0.4468,3.5
95864,1,132,,,219,34169,2,1,4.08,0.0502,2.5,0,2,4.08,0.0502,2.5
97213,1,219,,,219,77411,1,0,3.43,0.1993,3,0,1,3.43,0.1993,3
97731,1,100,,,219,54969,3,1,2.56,0.1971,4.5,0,3,2.56,0.1971,4.5
97732,1,219,,,80,135274,4,1,3.58,0.1024,4.5,0,4,3.58,0.1024,4.5
98122,1,219,,,219,93397,3,1,1.61,0.0651,4.5,0,3,1.61,0.0651,4.5
98125,1,219,,,219,92345,4,1,0,0.125509244,5,0,4,0,0.125509244,5
98185,1,55,,,129,121608,5,1,3.69,0.1335,4.5,2,5,3.69,0.1335,4.5
98567,1,100,3,148.26,59,85503,3,0,3.43,0.0377,4.5,0,3,3.43,0.0377,4.5
98748,1,100,,,100,38398,3,0,3.47,0.0316,2.5,0,3,3.47,0.0316,2.5
98949,1,4,,,109,13310,2,0,1.39,0.0863,,0,2,1.39,0.0863,
98967,1,219,,,219,52558,3,1,1.61,0.0154,4,0,3,1.61,0.0154,4
99469,1,220,,,220,4948,4,1,1.61,0.210763158,4.5,0,4,1.61,0.210763158,4.5
99870,1,117,,,216,61505,4,0,1.79,0.0663,4,0,4,1.79,0.0663,4
99960,1,158,,,158,103793,4,0,4.03,0.0952,4,0,4,4.03,0.0952,4
101527,1,219,,,219,14142,2,1,2.71,0.0248,3.5,0,2,2.71,0.0248,3.5
102376,1,219,,,219,14041,4,1,0,0.0025,4.5,0,4,0,0.0025,4.5
102483,1,220,,,129,133716,5,1,4.92,0.3792,4.5,2,5,4.92,0.3792,4.5
103065,1,216,,,157,9677,4,0,3.61,0.1438,4,0,4,3.61,0.1438,4
103304,1,100,,,100,92778,2,1,1.79,0.165,4,0,2,1.79,0.165,4
