,srch_id,date_time,site_id,visitor_location_country_id,visitor_hist_starrating,visitor_hist_adr_usd,prop_country_id,prop_id,prop_starrating,prop_review_score,prop_brand_bool,prop_location_score1,prop_location_score2,prop_log_historical_price,position,price_usd,promotion_flag,srch_destination_id,srch_length_of_stay,srch_booking_window,srch_adults_count,srch_children_count,srch_room_count,srch_saturday_night_bool,srch_query_affinity_score,orig_destination_distance,random_bool,comp1_rate,comp1_inv,comp1_rate_percent_diff,comp2_rate,comp2_inv,comp2_rate_percent_diff,comp3_rate,comp3_inv,comp3_rate_percent_diff,comp4_rate,comp4_inv,comp4_rate_percent_diff,comp5_rate,comp5_inv,comp5_rate_percent_diff,comp6_rate,comp6_inv,comp6_rate_percent_diff,comp7_rate,comp7_inv,comp7_rate_percent_diff,comp8_rate,comp8_inv,comp8_rate_percent_diff,click_bool,gross_bookings_usd,booking_bool
17,6838,2013-05-01 22:36:24,11,103,,,215,83434,4,4.0,0,2.08,0.0042,4.83,20,75.64,1,2303,3,23,2,1,1,1,,,1,,,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0,,0
18,7197,2013-01-15 14:46:06,5,219,,,100,39573,3,4.5,1,2.56,0.0275,4.97,27,212.0,0,18139,1,21,1,0,1,0,,1757.39,0,,,,0.0,0.0,,,,,,,,1.0,0.0,9.0,,,,,,,,-1.0,,0,,0
19,7202,2013-01-07 13:35:26,5,219,,,219,42533,4,4.5,0,0.0,,5.05,22,129.0,0,22457,1,10,1,0,1,1,,1045.48,0,,,,1.0,0.0,15.0,,,,,,,,,,,,,,,,,,,0,,0
20,7248,2013-05-06 08:50:58,14,100,2.42,180.73,219,84334,3,4.5,1,2.64,,4.91,12,110.25,0,20819,1,34,2,0,1,0,,666.31,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
21,7323,2013-02-06 22:34:57,32,220,,,220,84154,4,4.5,0,2.4,0.0023,5.36,33,174.41,0,20905,2,17,2,0,1,1,,3.13,0,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,0,,0
22,7445,2013-05-30 14:28:40,5,219,2.25,105.82,99,22272,1,2.5,1,2.4,0.0101,4.15,31,50.0,0,11673,1,25,1,0,1,0,,4580.09,1,,,,,,,,,,,,,1.0,0.0,4.0,,,,,,,,,,0,,0
23,7509,2013-05-21 12:16:11,31,219,,,219,42855,4,3.5,1,2.08,0.0141,5.56,19,269.0,1,23695,1,18,2,0,1,1,,1909.73,0,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,30.0,,,,,,,0.0,0.0,,0,,0
24,7971,2013-06-29 08:43:22,5,219,,,219,25974,3,4.5,1,1.61,,0.0,9,100.0,0,11852,1,0,2,0,1,1,,141.55,0,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,0,,0
25,8130,2013-04-21 19:22:59,5,219,,,219,30547,2,3.5,1,3.04,,4.36,26,66.0,1,1439,1,13,2,0,1,1,,19.91,1,,,,1.0,0.0,10.0,1.0,0.0,10.0,,,,,,,,,,,,,1.0,0.0,37.0,0,,0
26,8352,2013-01-06 17:01:10,5,219,,,219,9983,2,2.0,0,2.56,0.1261,4.23,18,70.0,0,2870,1,5,2,0,1,1,,58.11,0,,,,,,,,,,,,,,,,,,,,,,-1.0,0.0,28.0,0,,0
27,8771,2013-03-28 00:31:03,9,59,,,59,117873,4,4.0,0,3.14,0.0257,5.63,9,168.75,0,22835,6,207,2,0,1,0,,1608.74,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
28,9012,2013-03-10 13:39:28,5,219,,,219,86245,2,3.5,1,3.97,0.0735,4.85,7,157.0,0,3694,6,22,3,1,1,0,,1870.54,1,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,0,,0
29,9554,2013-02-26 19:41:26,5,219,,,219,5961,4,4.5,1,2.08,0.0498,6.1,8,285.0,0,9026,1,5,2,0,1,0,-10.3659,677.3,0,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,0,,0
30,9627,2013-01-28 19:22:10,5,219,,,219,78974,2,3.0,1,2.4,0.1382,4.65,8,89.0,0,11885,2,19,2,2,1,1,,162.93,0,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,0,,0
31,11431,2013-06-06 22:59:47,32,220,,,220,125892,5,4.0,1,4.88,0.3174,0.0,31,156.43,0,25981,4,35,2,0,1,1,,,1,,,,0.0,0.0,2.0,0.0,0.0,,,1.0,,0.0,0.0,,,,,,,,,,,0,,0
32,11683,2013-05-04 18:41:03,32,220,,,219,69184,4,4.0,1,5.18,0.3126,5.61,20,248.68,0,9402,3,77,2,1,1,1,,8084.08,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
33,11762,2013-06-21 15:56:46,5,219,,,219,5853,3,4.0,1,2.2,0.6677,0.0,1,86.0,1,6892,2,42,2,1,1,1,,338.84,0,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,1,192.96,1
34,12644,2013-06-11 10:01:04,5,219,,,219,6039,3,4.5,1,2.56,0.0704,0.0,21,159.0,0,17707,2,14,2,0,1,0,,279.33,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
35,12648,2012-11-12 14:39:34,16,31,,,31,5284,4,5.0,0,1.61,,4.71,11,104.23,0,10042,4,51,2,0,1,0,,256.62,0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0,,0
36,12829,2013-05-06 10:36:10,5,219,,,219,54838,4,4.0,1,1.79,0.0253,5.23,12,143.0,0,14472,2,41,2,2,1,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,1,354.3,1
37,12904,2013-04-28 14:40:01,5,219,,,219,51742,2,3.5,0,4.03,0.1785,5.07,9,249.0,0,27770,1,67,2,0,1,1,,2522.31,0,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,-1.0,0.0,20.0,0,,0
38,13154,2013-03-16 22:27:00,24,216,,,138,77186,3,4.0,0,4.28,0.1786,5.32,13,123.73,0,23276,7,3,1,0,1,0,,,0,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,,1.0,0.0,11.0,,,,0,,0
39,13538,2013-01-12 18:40:03,24,216,,,220,47219,5,5.0,0,2.89,0.1242,5.56,29,163.29,1,697,1,70,1,2,1,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
40,13551,2013-04-15 17:37:20,16,31,3.71,150.69,55,24131,4,4.5,0,5.3,0.0115,5.53,15,198.12,1,10979,4,17,4,1,2,1,,,0,,,,,,,,,,,,,0.0,0.0,,1.0,0.0,12.0,0.0,0.0,,,,,0,,0
41,14013,2013-03-04 11:25:55,5,219,,,219,105388,3,4.0,0,1.61,,5.21,26,119.0,0,15738,3,88,2,0,1,1,,982.36,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
42,14288,2013-01-29 04:58:52,14,100,,,219,128615,4,4.5,1,5.34,0.6921,5.74,8,260.77,0,21160,4,5,1,1,1,0,,330.01,0,,,,,,,0.0,0.0,10.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
43,14485,2013-05-24 04:35:09,15,100,,,100,80545,4,4.0,1,3.99,0.1021,5.54,2,189.05,0,982,1,0,2,0,1,1,,219.35,0,,,,0.0,0.0,,,,,,,,1.0,0.0,17.0,,,,,,,,,,0,,0
44,14579,2013-06-22 18:01:13,32,220,,,219,134786,5,4.5,0,4.48,0.1913,0.0,26,288.56,0,20319,7,144,2,0,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
45,15652,2013-05-12 16:12:51,18,129,,,15,122921,5,4.0,1,3.58,,5.82,25,193.56,0,7298,7,181,2,0,1,0,,3036.63,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
46,15807,2013-06-07 09:50:38,5,219,,,219,108030,3,4.0,1,2.3,0.0048,0.0,22,110.0,1,24131,2,18,2,2,1,0,,,1,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,0,,0
47,15815,2013-05-30 08:36:31,13,81,,,4,46961,5,4.5,0,5.0,0.0663,5.69,18,284.51,0,6678,4,70,2,2,1,1,,,0,,,,,,,,,,,,,1.0,0.0,28.0,0.0,1.0,,1.0,0.0,28.0,,,,0,,0
48,16297,2013-05-26 00:16:38,15,55,,,99,57857,4,4.0,1,5.62,0.0252,6.06,4,654.87,0,13292,3,3,2,0,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
49,16329,2013-03-05 05:36:36,5,219,,,219,119278,0,0.0,0,0.0,,4.71,19,60.0,0,5586,1,158,1,0,1,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
50,16659,2013-02-18 20:52:25,5,219,,,219,55230,4,4.0,1,1.61,,4.72,36,99.0,0,9899,2,4,4,2,2,1,,238.6,0,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
51,17332,2013-04-03 08:15:57,5,219,,,219,116424,2,3.5,1,1.61,0.075,4.54,10,77.0,0,20491,1,74,2,0,1,0,,8.08,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
52,18039,2013-05-21 06:54:39,32,220,,,31,115069,0,3.5,0,6.82,0.1089,4.57,21,96.07,1,15620,5,39,2,0,1,0,,9942.62,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
53,18111,2013-02-22 17:41:21,5,219,,,219,140438,3,4.5,1,1.1,,4.92,2,139.0,0,17369,1,9,2,0,1,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
54,18248,2013-05-21 14:46:58,5,219,,,219,61529,4,4.5,1,5.7,0.1596,5.81,2,235.0,1,4562,4,65,2,0,1,1,,2568.08,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
55,18395,2013-04-13 06:41:19,14,117,,,117,90588,3,0.0,1,0.0,0.0002,4.25,2,73.01,0,15669,4,1,1,1,2,0,,,0,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,-1.0,0.0,13.0,,,,,,,,,,0,,0
56,18714,2012-12-23 13:31:02,14,100,,,219,9301,4,4.0,1,2.2,0.042,4.64,13,108.74,0,6601,1,3,1,0,4,0,,1361.83,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
57,18831,2013-02-12 19:21:56,18,129,,,55,134989,3,4.0,0,2.56,0.001,4.76,7,76.69,0,10979,5,44,1,1,2,0,,,0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0,,0
58,19003,2012-12-26 12:19:47,5,80,,,80,40335,3,4.0,1,3.66,0.2018,5.14,6,105.0,0,2173,2,6,1,0,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
59,19079,2013-04-28 22:27:01,5,219,,,42,71078,3,3.0,0,1.61,0.0087,5.02,19,97.0,0,10596,1,3,2,0,1,0,,9443.82,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
60,19447,2012-12-17 21:29:53,17,53,,,98,82713,4,4.5,0,4.53,0.5723,4.58,16,68.44,1,3164,2,2,2,0,1,0,,,1,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,1,,0
61,19959,2013-04-29 14:27:04,5,219,,,99,81944,4,4.5,1,5.99,0.3487,6.21,22,565.0,0,15650,2,25,2,0,1,1,,5687.66,1,1.0,0.0,6.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,0,,0
62,19987,2013-03-01 20:53:57,5,219,,,219,20856,2,4.0,1,0.0,0.0016,4.35,26,56.0,0,13539,1,29,6,1,6,1,,526.42,1,,,,0.0,0.0,,1.0,0.0,3.0,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
63,20702,2013-02-01 07:13:22,5,219,,,219,68495,3,4.0,1,3.71,0.0559,5.53,16,140.0,0,9402,3,56,1,1,2,1,,1785.11,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
64,21328,2012-11-27 18:08:24,1,13,,,13,85988,2,4.0,0,4.17,0.3214,4.34,18,61.88,0,24333,1,3,1,0,1,1,,,1,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0,,0
65,22842,2012-11-23 13:59:18,32,220,,,220,96502,5,4.0,0,3.78,0.2616,5.63,28,151.69,1,6171,2,4,2,0,1,0,,,1,,,,1.0,0.0,11.0,1.0,0.0,11.0,1.0,0.0,11.0,,,,,,,,,,,,,0,,0
66,22891,2013-01-08 20:32:51,24,216,,,14,79394,3,4.0,1,3.85,0.16399999999999998,4.56,17,62.49,1,9387,1,39,2,0,1,1,,,0,,,,0.0,0.0,,-1.0,0.0,17.0,0.0,0.0,5.0,0.0,0.0,,,,,,,,,,,0,,0
67,23039,2013-06-07 06:45:39,5,219,,,219,135380,3,4.0,1,3.85,0.0085,0.0,36,126.0,0,11323,2,14,2,0,1,1,,53.82,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
68,23778,2013-04-19 12:29:14,14,100,,,100,34966,3,4.5,0,5.04,0.2857,5.3,13,125.66,0,15438,1,4,2,0,1,0,-9.6344,,0,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
69,24205,2013-02-16 17:12:48,19,158,,,15,124440,0,0.0,0,3.78,,5.1,22,98.02,0,26035,2,25,1,0,1,0,,1205.95,0,,,,1.0,0.0,54.0,,,,,,,,,,,,,-1.0,0.0,2.0,,,,0,,0
70,24214,2013-01-18 04:05:27,5,219,,,219,131110,4,4.5,1,3.37,0.12,5.61,16,215.0,1,4041,1,1,2,0,1,1,-14.3637,146.37,0,,,,0.0,0.0,33.0,0.0,0.0,16.0,,,,1.0,0.0,33.0,,,,,,,0.0,0.0,16.0,0,,0
71,24844,2013-06-21 23:13:27,5,219,,,219,60267,3,4.5,1,2.56,0.0447,0.0,14,129.0,0,20428,5,105,3,0,3,0,,485.45,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
72,25175,2012-11-19 15:30:46,24,216,,,98,21288,5,4.5,0,2.2,,5.89,29,1299.67,1,18633,1,35,2,0,1,0,,,0,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,0,,0
73,25321,2012-11-07 10:23:35,5,219,,,219,121586,4,4.0,1,4.6,0.2974,5.7,15,203.0,0,18933,1,44,1,2,1,1,-20.1948,3485.36,0,,,,0.0,0.0,,,,,,,,1.0,0.0,7.0,,,,,,,,,,0,,0
74,25533,2013-01-09 10:00:10,12,99,,,99,16190,3,4.0,1,3.22,0.2165,4.96,4,111.04,0,3404,1,1,1,0,1,1,,,0,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,,1,111.18,1
75,25979,2013-02-07 22:06:04,24,216,,,31,40467,5,3.0,1,6.69,0.0521,5.65,20,262.22,0,15620,3,125,1,0,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
76,26027,2013-04-03 14:02:33,5,219,,,99,111455,2,3.5,0,5.09,,4.57,18,114.0,0,7531,6,147,2,0,1,0,,5137.08,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
77,27333,2013-04-09 17:59:40,5,219,,,219,68914,2,3.0,1,2.2,0.0005,4.44,13,67.0,0,10999,2,7,1,1,2,0,-30.296,106.17,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
78,27439,2013-05-20 19:07:30,25,229,,,215,107111,4,4.5,0,5.84,,5.51,21,222.85,1,25696,5,23,1,0,1,0,,,0,1.0,0.0,9.0,,,,,,,,,,0.0,0.0,,0.0,1.0,,0.0,0.0,,,,,0,,0
79,27501,2012-12-15 06:31:53,14,100,,,35,105109,4,5.0,0,1.39,0.0023,5.4,33,174.53,0,927,3,51,2,0,1,0,,2481.57,1,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,0,,0
80,27528,2013-02-08 19:39:17,15,129,,,99,30990,4,4.5,0,6.12,0.262,6.19,3,252.84,1,15650,4,6,2,0,1,1,,248.83,0,1.0,1.0,16.0,,,,,,,,,,0.0,0.0,8.0,0.0,0.0,,1.0,0.0,10.0,,,,0,,0
81,27582,2013-02-16 12:23:24,15,55,3.92,137.68,93,3408,2,4.0,0,4.19,0.1548,4.47,32,43.45,0,10212,1,5,1,0,1,1,,,0,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0,,0
82,28134,2013-06-21 16:15:36,15,55,,,99,114556,2,4.0,1,2.4,0.0231,0.0,28,289.86,1,27929,4,95,1,2,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
83,28583,2013-06-03 05:51:43,5,219,,,219,42087,3,3.5,1,2.3,0.0041,0.0,10,140.0,0,18774,1,3,1,1,2,1,,261.35,0,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,0,,0
84,28990,2013-04-13 14:19:24,5,100,,,219,109147,3,4.0,1,1.1,0.0315,5.12,7,123.0,0,15695,1,76,7,4,3,1,,323.28,0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,0,,0
85,29049,2012-11-24 16:32:21,15,55,,,99,37875,4,3.5,1,6.27,0.0361,5.98,13,181.12,1,13292,2,61,2,0,1,1,,,0,,,,,,,,,,,,,1.0,0.0,26.0,,1.0,,,,,,,,0,,0
86,30121,2013-01-15 16:45:58,5,219,,,100,82394,3,4.0,1,4.13,,5.1,12,97.0,1,12454,2,4,2,0,1,1,,2049.97,0,,,,0.0,0.0,2.0,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,2.0,0,,0
87,30350,2013-03-14 19:02:18,23,181,,,215,135221,3,4.0,0,6.25,0.4837,5.57,2,213.75,1,12432,4,58,3,0,1,1,,,0,-1.0,0.0,9.0,,,,,,,,,,-1.0,0.0,17.0,,,,,,,,,,0,,0
88,30619,2013-02-13 17:31:09,15,55,,,31,127555,4,4.0,0,4.75,,5.41,26,174.08,0,5406,2,47,2,0,1,0,,,1,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,0,,0
89,30887,2013-05-24 17:00:13,5,219,,,219,23376,3,0.0,1,2.94,,4.99,21,99.0,0,4182,1,0,2,0,1,1,,337.84,1,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,0,,0
90,31465,2013-01-23 13:18:18,5,219,,,219,54139,2,2.5,1,1.1,,4.23,33,42.0,1,19222,1,0,2,0,2,0,,13.27,1,,,,1.0,0.0,42.0,,,,,,,1.0,0.0,14.0,,,,,,,,,,0,,0
91,31767,2013-01-17 20:15:56,5,219,,,219,92611,4,4.5,1,3.78,0.5521,5.81,4,309.0,0,5313,2,83,1,0,1,0,,185.58,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
92,32064,2013-06-12 13:02:23,5,219,,,219,32073,4,5.0,1,3.18,0.0318,0.0,14,219.0,0,26458,1,36,1,0,1,1,,1015.38,0,,,,1.0,0.0,2.0,,,,,,,1.0,0.0,2.0,,,,,,,,,,0,,0
93,32205,2013-06-30 19:06:50,5,59,,,59,69256,4,4.5,1,1.79,0.0126,0.0,20,169.0,1,19941,7,10,2,0,1,0,,727.75,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
94,32760,2012-11-16 14:11:27,32,220,,,220,124014,5,5.0,0,0.0,,5.46,20,160.26,0,22043,4,57,2,0,1,1,,1700.08,1,,,,1.0,0.0,5.0,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,0,,0
95,33249,2013-04-21 15:03:01,11,103,,,31,20928,3,4.0,0,6.36,0.6868,5.34,21,189.44,0,4737,1,186,2,0,1,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
96,33331,2013-04-07 12:42:28,5,219,,,219,69531,2,3.0,1,0.69,0.0086,4.35,34,62.0,0,16888,1,3,1,0,1,0,,645.32,1,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,0,,0
97,33739,2013-06-08 06:30:15,5,219,,,219,20889,2,4.5,0,0.0,0.2287,0.0,3,124.0,0,18752,1,0,1,0,1,1,,121.45,0,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,0,,0
98,33814,2013-03-09 09:45:08,5,219,,,219,43028,3,4.0,1,4.17,0.0324,5.21,19,109.0,0,11580,1,0,2,0,1,1,,123.55,0,,,,0.0,0.0,,1.0,0.0,27.0,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
99,34106,2013-01-18 18:47:10,5,219,,,219,135726,4,5.0,1,1.61,,6.21,35,945.0,0,8347,2,105,5,2,1,1,,55.98,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
100,34818,2013-05-20 21:30:29,5,219,,,109,79107,3,5.0,0,5.36,0.1231,4.88,20,122.0,0,12420,3,44,2,1,1,0,,,0,,,,,,,,,,,,,0.0,0.0,,,,,1.0,0.0,22.0,,,,0,,0
101,35865,2012-12-27 07:15:14,5,219,,,219,52693,3,5.0,1,0.69,,5.24,21,109.0,0,23475,1,2,2,0,1,1,,399.42,1,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,0,,0
102,36267,2012-11-10 01:00:40,5,22,3.0,74.66,219,105958,3,4.5,1,0.69,0.0017,5.02,27,149.0,0,25479,1,84,2,1,1,1,,,1,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,0,,0
103,36519,2013-03-10 13:34:16,5,219,,,219,38733,3,4.0,1,2.83,0.0221,5.09,7,172.0,1,22766,3,12,2,2,1,1,,272.18,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
104,36569,2012-12-18 11:30:05,5,219,,,219,104276,2,4.0,0,2.94,0.1006,4.28,6,53.0,1,3821,1,195,3,0,1,0,,587.48,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
105,37063,2012-12-12 14:49:42,5,219,,,219,41764,4,4.0,1,0.0,0.0516,5.02,21,189.0,0,1861,1,5,1,0,1,0,,212.1,0,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,0,,0
106,37286,2013-06-26 12:54:57,5,219,,,55,65991,4,4.0,1,5.14,0.1037,0.0,34,332.0,1,5036,1,20,2,1,1,0,-35.8993,3283.17,0,,,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0,,0
